index	par_id	category	region	text	label	subgroup
4	@@7811231	disabled	nz	Council customers only signs would be displayed . Two of the spaces would be reserved for disabled persons and there would be five P30 spaces and eight P60 ones .	0	disability
16	@@23471689	disabled	pk	Apart from Pakistan and hosts England , Bangladesh disabled cricket team will also participate in the tournament . <h> Shahid Afridi bags 11 Man of the Match awards in T20Is ( Most by any player ) <h> Ab De villiers bagged a pair for the first time in his Test career <h> Super Gossip	0	disability
19	@@21929081	disabled	gh	She said since 2014 , a total of 8000 intellectually disabled people in Ghana had been offered special training to enhance their integration into society .	0	disability
33	@@8301323	disabled	pk	Arshad said that besides learning many new aspects of sports leadership he learnt how fast-developing nations were using sports as a tool of development and in this effort the disabled and the underprivileged were not left behind at any stage .	2	disability
34	@@24150149	disabled	ng	Fast food employee who fed disabled man becomes internet sensation	3	disability
41	@@20645208	disabled	ca	Justin Bour led off the ninth with his 22nd homer , and first since a six-week stint on the disabled list . Ramos then gave up four singles , including two-out RBI hits by pinch-hitter A.J. Ellis and Ichiro Suzuki .	0	disability
50	@@22222249	disabled	ph	Before April 2005 , the official definition of the unemployed was those who did not work during the reference week and are looking for work . However , from April 2005 onwards , the official definition was refined as follows : not working , looking for work , and available for work . It subtracts those who are looking but not available for work and adds those available but not looking for work for the following reasons : tired/believe no work is available , awaiting results of a job application , temporarily ill/disabled , bad weather , and waiting for rehire/job recall .	0	disability
52	@@9925501	disabled	ca	"In line with the Modi government 's mission "" Accessible India , Empowered India "" , together with the "" National Policy for Persons with Disabilities "" and the "" UN Convention on Rights of Persons with Disabilities "" , the code has for the first time made elaborate provisions for making buildings and public places accessible to millions of disabled and elderly persons . The code for barrier-free built environment will be applicable to all forms of public housing by government and private builders ."	0	disability
54	@@18760930	disabled	ke	A court ordered an oil company to pay a former employee Sh5.7 million for sacking him because he was disabled .	0	disability
55	@@9305263	disabled	jm	Over the past 15 years , the show has handed over more than $50 million to the Mustard Seed Communities to assist with the care of more than 400 abandoned , disabled , HIV/AIDS-affected children , and pregnant teenagers being accommodated in its 12 homes across the island . <h> ADVERTISEMENT	1	disability
91	@@22447789	disabled	hk	However , this year he met a group of enthusiastic disabled runners as well Paralympic Games competitors at an event in Hong Kong .	0	disability
143	@@4603373	disabled	jm	The Small Business Development Fund also has the particular mandate for special consideration for disabled persons .	0	disability
149	@@1387882	disabled	us	Krueger recently harnessed that creativity to self-publish a book featuring the poems , artwork , photography and short stories of 16 ill or disabled artists from around the world . She hopes the book , which contains some of her own work as well , will show how talented disabled people can be .	2	disability
