index	par_id	category	region	text	label	subgroup
6	@@9382277	in-need	in	To bring down high blood sugar levels , insulin needs to be taken . If you are the type who requires insulin during meal time , you will have to take correct doses of insulin in order to lower your blood glucose . Decision needs to be taken on when to inject it and how many times to inject . For this , you have to take the help of a health care professional .	0	homelessness
9	@@3449225	homeless	ph	NUEVA ERA , Ilocos Norte - No family shall be homeless under the watch of the municipal government here , said town Mayor Aldrin Garvida .	1	homelessness
10	@@2485090	in-need	nz	His spokesman said the Kremlin needed more information about the rebels ' decision . He also said the rebel statement came only after the Western-backed government in Kiev had declared it would press on with its military operation , implying that Ukraine was to blame for the rebels ' refusal to heed Putin .	0	homelessness
23	@@25154641	homeless	ca	""" It highlights that different communities respond to the issue of homelessness in different ways , "" Kneebone said ."	0	homelessness
31	@@19025195	homeless	bd	Nearly 110 families made homeless from the blaze are being housed at hotels in west London . Churches and community centres are providing meals and support , and donations of clothing , toys and household supplies are flooding in .	0	homelessness
36	@@20493025	homeless	ng	The foundation urged those who are willing to raise fund for the homeless victims to click on the link below for donation .	1	homelessness
37	@@3277512	homeless	lk	A fire that broke out in a labor camp in Al Sailiya on the 8th of May left approximately 300 Sri Lankans , employed at a Janitorial Service Company in Qatar , homeless . They have been provided with temporary lodging after the fire . Expatriates who did not report to work under these circumstances have been arrested by the Qatar authorities .	0	homelessness
39	@@24700959	homeless	ke	FLOODTwo weeks ago , homes and farms were submerged by water , rendering a number of families in Garissa and Tana River homeless .	0	homelessness
46	@@8054332	in-need	us	ORLANDO , Fla. - Are you missing something fuzzy and cute in your life ? Many cats and dogs can fill that need and are in need of good homes .	0	homelessness
47	@@7267604	in-need	nz	More than 750 trolleys of food donated to those in need	0	homelessness
56	@@9890957	homeless	nz	People who are homeless , those who were once homeless , those working with the homeless and concerned New Zealanders are being asked to share their experiences and solutions to this growing issue with the Cross-Party Homelessness Inquiry . More&gt;&gt;	0	homelessness
58	@@3224696	homeless	lk	He said that they have witnessed the tragedy the people of Nepal are currently experiencing . He went on to state that it is an emotional time for all . He said that thousands have lost their lives owing to this earthquake while many have been rendered homeless and destitute .	0	homelessness
59	@@15973393	in-need	ng	We have been a leader on so many fronts , not just on this continent but also in the world -- from our attainment of independence , to our development of a democracy that maintains at its core a pledge of stability and a respect for the rule of law , to our formation of much-needed peacekeeping and other humanitarian missions for other nations in need .	0	homelessness
60	@@20227078	homeless	ke	Life on the streets , she remarks , was really no different from home , where she often slept hungry or out in the cold when the landlord locked them out . Awino will therefore always be grateful to that kind man who came to her rescue and took her to Boma Rescue Center , a home that provides temporary shelter for homeless children .	1	homelessness
65	@@15172256	homeless	ca	The homeless shelter provides a secure environment to sleep at night but nothing can be left there during the day , even if the individual is returning that night . The Champion Centre now offers a locked room with shelves where personal items can be stored , said Schnee . Lockers with a lock and key would be preferable .	0	homelessness
74	@@20827089	homeless	nz	In the past month , four major hurricanes -- Category 3 or higher -- have churned through the Caribbean and Atlantic Ocean . Hurricanes Irma , Jose , Katia and Maria caused major damage to island nations in the Caribbean , as well as continental North and Central America , devastating the lives of millions of people and leaving hundreds of thousands homeless and displaced .	0	homelessness
77	@@22454828	homeless	nz	In September , Major Nottle set off on foot from Melbourne to Canberra to plead for a national solution to the homeless problem .	3	homelessness
83	@@4672144	homeless	pk	The demographics of Pakistan and India are very similar . Poverty is a widespread issue . According to the FAO , 40 percent of children in Pakistan are malnourished and underweight due to lack of access to adequate food . And this is not because there is n't enough ; Pakistan is the 8th largest food producing country , however , 50 percent of the population is food insecure . With the massive income inequality that persists , RHA is a brilliant movement . We collect leftover or extra food from restaurants and distribute it to the homeless and hungry in the locality .	3	homelessness
88	@@4789100	in-need	ie	Freeman 's aim is to open a Pieta House service in Queens ' New York Irish Center within 6-8 months which will provide mental health counseling for the Irish in need within the greater New York City area . They have also been in contact with Irish centers in Boston , Chicago and D.C. about expansion .	0	homelessness
90	@@3085929	in-need	za	Skin needling is a safe and precise way to traumatise the skin to stimulate collagen , based on the above principal . It results in a smoother , firmer and younger looking skin .	0	homelessness
93	@@1852200	in-need	tz	Most African flag independent States are under economic oppression , a bondage which is not very different from the colonial rules of the 1900 -- 1970 world . This modern world is a world in the midst of economic dependence and a lot of people in need of help . In other words the political environment under neo-colonial rule of today is not different from the political environment during colonial times where the struggles for independence began .	0	homelessness
99	@@25281193	in-need	my	The departures from London will barely put a dent in S&amp;P 's overall presence in Europe 's main financial centre . But Peterson warned Britain needed to provide clarity on key post-Brexit regulatory arrangements to ensure there is n't more upheaval .	0	homelessness
101	@@18575081	in-need	bd	"According to Jim Gouveia , a licensed clinical social worker and a counselor at CAPS , the purpose of gatekeeper trainings is to educate people to be aware of the signs and symptoms of suicide , how to ask the question , "" Have you thought about suicide ? "" and how to get mental health help and assistance for those in need ."	0	homelessness
107	@@16900972	homeless	ke	"His present "" chambers "" may be quite humble , but Shiyani has the tiny space very neatly organized and clean . Many people pass him by but do not manage to see him , because the space is partially hidden behind trees , which gives him a relative privacy . "" There are many homeless sleeping around the station , "" Captain Xoli Mbele , from the nearby Johannesburg Central Police station said ."	3	homelessness
111	@@7849643	in-need	nz	Aussie blogger Constance Hall has raised more than $150,000 with the help of her ' Queens ' to help Kenyan girls in need .	1	homelessness
112	@@25160721	homeless	sg	She has turned her modest home into a safe haven for the vulnerable , especially the elderly who find themselves homeless and living on the streets .	1	homelessness
115	@@22756125	in-need	sg	"Mr Tan noted that PSA has performed reasonably well against the challenging backdrop and tough competition . "" In addition , we are also preparing for a future where logistics and supply chain needs are transformed by new technology , trade , manufacturing and e-commerce dynamics , "" he said ."	0	homelessness
118	@@24885862	in-need	za	"This is the rhetoric of what anthropologist Laura Agust ? n calls the "" rescue industry "" - a term used to describe people and institutions who conceptualize all sex workers as victims in need of saving . Catherine MacKinnon has argued , for example , that "" in prostitution , women have sex with men they would never otherwise have sex with ."	4	homelessness
119	@@23479041	homeless	au	The bill reveals just how much libraries , which are open to the public and welcome homeless people , have had to cope with the crisis : Library workers in towns and cities across New York describe finding used syringes and glassine envelopes in doorways and patrons slumped over in bathrooms .	0	homelessness
127	@@24638267	in-need	za	Cook goes down holding his ankle and is in need of treatment .	0	homelessness
132	@@15483547	in-need	ng	The legislators were concerned with the diversion of Shs140billion in the contingency fund to the Parliamentary Commission yet government could not offer enough food relief to areas in need including districts of Isingiro , Rakai and Karamoja region .	1	homelessness
