index	par_id	category	region	text	label	subgroup
14	@@14991409	poor-families	my	In the Government 's commitment to protect vulnerable groups , Najib in the 2017 Budget proposed financial assistance to poor families including General Assistance up to RM300 per month and Children Assistance up to RM450 per month .	0	poverty
43	@@16948790	poor-families	in	""" There is food given to poor families here by the government but we have not been able to access it , "" Gwauya 's mother , Sithela , told the Thomson Reuters Foundation ."	0	poverty
61	@@16668574	poor-families	gh	Mwesigwa said ' Youth have to learn lessons from good example of Heroes who contributed in the liberation struggle . ' The Community Service was conducted at Cell level in all Districts of Rwanda last Saturday morning with thousands of youth participants to clean schools and make renovation of houses for poor families .	1	poverty
67	@@2055117	poor-families	za	Masemola said the students were all from poor families and had lost a lot of money preparing for the trip .	0	poverty
80	@@20105190	poor-families	my	For SJKC Chung Hua Sibuti , the Maybank volunteers helped repaint the building 's walls , repaired broken door frames at the school toilets , donated uniforms to 10 schoolchildren from poor families as well as four iron racks and 10 boxes of A4 papers to the school .	0	poverty
89	@@3317664	poor-families	au	""" Unbelievable . They 're pitting two poor families against each other and making them feel guilty about helping somebody for our entertainment ? """	0	poverty
97	@@4635069	poor-families	jm	""" The Government , in its drive to ensure the inclusion of vulnerable groups in the productive workforce ( is ) making provision for the participation of working-aged adults in the labour market , who are from poor families in receipt of welfare assistance , "" he said ."	0	poverty
116	@@24205211	poor-families	sg	Sister Yosephina said human traffickers exploit poor families from rural areas by tricking them into thinking they are sending their daughters off to a better job and a better life .	0	poverty
126	@@7205684	poor-families	nz	The changes to be implemented from April 1 will increase the In Work Tax Credit part of WFF to $72.50 per week . When work is insecure , and hours are irregular poor families may not meet the conditions to access this important weekly payment for their children . Those on benefits likewise do not qualify . To make serious cost-effective inroads into child poverty , CPAG urges the government to extend this tax credit to all low income families .	0	poverty
146	@@21486090	poor-families	ke	This creates the prospect of poor families being forced to pay out of their own pockets for extra visits to health facilities .	0	poverty
151	@@19974860	poor-families	in	10:41am - Parents of children who died must get compensation , free medicine must be provided to poor families across UP : Ram Gopal Yadav	3	poverty
157	@@21712008	poor-families	ca	We are alarmed to learn of your recently circulated proposals that would eviscerate the Lifeline program and leave many of the most vulnerable people in the country without access to affordable communications . As you are well aware , the Lifeline program provides a modest monthly subsidy of $9.25 to connect low-income Americans to phone and internet services . As broadband prices continue to soar , and affordability continues to suffer , adoption gaps remain . The Lifeline program has proven critical for poor families and people of color who are caught on the wrong side of the digital divide .	4	poverty
165	@@4631773	poor-families	pk	Though many tribes now feel a need to educate their girls ; however , due to social pressures and the lack of funds they have not been able to fulfill their dreams so far . Those who do bypass societal stigmas and financial downfalls are faced with the eventual problem of the non-existence of an educational institution for their higher studies . Though some do have the option to shift to other cities , but for these tradition bound people it is easier said than done . Despite that a few of the NGOs have established private schools , but either the folks around those parts do not trust NGOs , or the fee is too high for them which poor families simply can not afford .	0	poverty
189	@@10290840	poor-families	bd	RAB sources said Salma used to collect babies from poor families with the trick and she sells those to others .	0	poverty
194	@@7480261	poor-families	ie	Sadly , many of the bodies of civilians killed in the Rising were never claimed from the authorities who laid them out in City Hall , as poor families had no means to bury their loved ones .	1	poverty
204	@@3136730	poor-families	za	And the Guardian has written that most of those Tunisian IS volunteers come from middle class rather than working class or poor families .	0	poverty
209	@@25465205	poor-families	za	""" This spells bad news for all South Africans but the impact on poor families will be even worse . This increase in fuel prices will create a level of hardship for a group that is already suffering from high levels of unemployment and stagnant or declining real wages , "" he said ."	0	poverty
212	@@7916553	poor-families	pk	The BISP is providing service and financial support to 2.5 million poor families across Pakistan , Marvi said , adding that the government 's mission is to reduce this number by ensuring that the poor families are enabled to become self-supporting and get rid of poverty .	1	poverty
227	@@13497239	poor-families	us	""" Upper caste men make fun of us . They think our lives do n't matter because we are daughters of poor families . They always look at us with lustful eyes . """	0	poverty
258	@@15956180	poor-families	lk	Maize is also protected with taxes to increase profits of vested interests , pushing up chicken prices and worsening protein malnutrition among kids of poor families , critics say . Milk prices are also high due to a self-sufficiency drive . Cheese is a super luxury good .	0	poverty
280	@@2241348	poor-families	za	The growing black middle class , , amongst other things , owes its success to the educational opportunities provided by our government . Some of the new black professional and middle classes were from poor families and from within the ranks of the working class . We need to be proud of all these achievements as the country celebrates 20 years of democracy .	4	poverty
312	@@19076569	poor-families	za	A poverty tax is imposed on people who live a long way from grocery stores . The added cost of travel eats into money that poor families should spend on groceries . In response , Khojane and Drake founded Lakheni , a group buying club that combines orders from a community , and uses the buying power of the group to get better prices .	0	poverty
317	@@23714730	poor-families	in	The NHPS , expected to cover 100 million poor families with an annual health insurance coverage of Rs 500,000 per family , will cost the government Rs 10,000-12,000 crore ( $1.5 billion -- $ 1.8 billion ) , as per official projections .	0	poverty
325	@@1485403	poor-families	gb	More than 100,000 poor families have already been evicted , the report says	0	poverty
331	@@622269	poor-families	ca	Studies have found the one sure predictor for success among children from poor families was a strong relationship with an adult .	0	poverty
361	@@14445707	poor-families	ke	""" We expected water to have been restored by Saturday morning but our taps are still dry . We do not know whether to buy water or food . It is even worse for us because vendors now have increased the price of water , which makes it hard for poor families , "" resident John Wambua said ."	0	poverty
390	@@25559147	poor-families	nz	Sam Warburton calls out the false claim by public transport boosters that Auckland 's new regional fuel tax is n't as regressive as you think . It is , and is really hurting poor families	0	poverty
413	@@2021670	poor-families	ph	According to NSCB Secretary General Jose Ramon G. Albert , the dip in poverty incidence was not satistically significant . The proportion of poor families has been similar between 2006 and 2012 because of the country 's growing population , which has been expanding at an average rate of 1.9 percent .	0	poverty
435	@@2955243	poor-families	us	I also noticed the change in socio-economic levels . However , if more schools used this approach , then poor families would not be gentrified out .	1	poverty
437	@@17685882	poor-families	sg	He added that any introduction of new law must emphasize on how much convenient or comfortable it would be to the majority of the population which constitutes the poor families .	0	poverty
443	@@17665960	poor-families	ke	""" As I stand here I am a holder of a D- ( minus ) but that has not stopped me . There is progression and that should be an inspiration to other children from poor families . As I stand here I am a student of an MBA , "" Joho"	1	poverty
474	@@25887412	poor-families	hk	The Hong Kong People Service Center came up with the alarming findings in its survey of 216 children and teenagers , aged between six and 17 , from poor families .	0	poverty
475	@@19993860	poor-families	pk	Talking to elected representatives , Shahbaz Sharif said that higher education is not merely legacy of the elite but the right of every child of Pakistan . He said that doors of higher education have been opened for the talented students of poor families through PEEF and not only Punjab but industrious students of underprivileged families from all over the country , including Sindh , Balochistan , Khyber Pakhtunkhwa , Gilgit-Baltistan and AJK are benefitting which nevertheless has promoted national solidarity and brotherhood .	1	poverty
502	@@20785749	poor-families	nz	""" Instead of the real reform the President promised on the campaign trail , this plan offers more tax cuts for the rich and budget cuts for the poor . While President Trump was elected on his promise to fix the rigged political and economic system , these proposals will only further rig the rules in favor of the rich and powerful while harming poor families in the US and in developing countries worldwide ."	0	poverty
507	@@864795	poor-families	us	"? "" Cuts to nutrition programs such as the Supplemental Nutrition Assistance Program ( SNAP ) will hurt hungry children , poor families , vulnerable seniors and workers who can not find employment , "" said the letter , signed by Bishop Stephen Blaire . "" These cuts are unjustified and wrong . "" ? ?"	1	poverty
513	@@22081836	poor-families	gh	""" In the beginning , the baby box was a means to support especially poor families and ensure that mothers were included in the national healthcare system . """	0	poverty
515	@@20707730	poor-families	pk	If implemented , it will take the medical and dental education away from the middle and even upper middle class families , what to talk of poor families .	0	poverty
528	@@4166008	poor-families	gb	Saskia rallied her friends and family to help and became involved with Philani Child Health and Nutrition Project , which builds better shacks for poor families . Together , they were able to give baby formula milk to the grandmother who is looking after the twins , clothes and prams but , most importantly , extend their tiny shack .	3	poverty
537	@@19422398	poor-families	nz	Yes but you ca n't really target tax cuts , everyone gets them . For example , to give poor families an extra $100 a week in tax cuts would require giving everyone $100 a week in tax cuts which is not affordable .	0	poverty
545	@@14978344	poor-families	ie	This year TEAM HOPE shoeboxes from Ireland will go to street children , orphans , children in hospital , poor families , victims of war and other needy situations in Eastern Europe and former Soviet Union e.g. Romania , Kosovo , Albania and Africa e.g. Cameroon , Congo , Rwanda .	2	poverty
561	@@1836575	poor-families	ng	The governor of the home state of the late sage is bent on destroying the pillars upon which the icon built by sending students who are self-sponsored or from poor families but struggling to get good education to better their lives out of the school , thereby denying them of one of the fundamental human rights as enshrined in the constitution of the Federal Republic of Nigeria , which he swore to uphold on May , 29 , 2011 .	0	poverty
571	@@25652859	poor-families	ke	The county government is also issuing local poor families with free medical cover , through the national health insurance fund ( NHIF ) as the country strives to achieve the four Big Agenda that include universal quality health care for all .	0	poverty
591	@@295849	poor-families	nz	PM defends record of helping poor families	4	poverty
600	@@19599236	poor-families	za	He also gave out food to poor families selected by the local social development office .	3	poverty
627	@@9025842	poor-families	nz	A lunchtime crowd in downtown Auckland said more should be spent on early childhood education , helping solo mothers and poor families .	1	poverty
630	@@17390388	poor-families	za	The blaze began in forested areas of Vina del Mar , a popular resort area in the Valparaiso region , about 120 kilometers ( 75 miles ) west of Santiago , where hundreds of poor families live in illegally-built houses of wood and tin .	0	poverty
632	@@15472541	poor-families	ie	""" These children are from poor families , their fathers are itinerant workers , farmers , or refugees from other poorer areas , "" she said ."	1	poverty
635	@@21887650	poor-families	ng	He would n't tolerate nonsense and he never allowed anybody to intimidate him . He was wealthy and very comfortable , and with his wealth was very generous and kind . In every three months , we had banquet for all the chiefs in my community . After that of chiefs , he would organise ours for us and the children from poor families . He used to tell us that being comfortable did not mean we were special , as God had created everyone equally .	2	poverty
653	@@22009749	poor-families	nz	"As we drive at a crawl past Buenos Aires ' Faculty of Engineering , Mario says the immense Parthenon-inspired edifice was built for famed first lady Eva Peron in the 1950s , as a base for her work with poor families . Eva never saw it completed , as she died of cancer aged 33 . Her early death only fuelled "" the myth of Evita "" , Mario tells me ."	0	poverty
660	@@10104112	poor-families	bd	""" We are conducting various activities to bring back children to school . We have arranged financial benefits alongside food at school for children from poor families . We have also made arrangements for educating the street children , "" Nahid said ."	0	poverty
664	@@1608937	poor-families	ie	We did away with university fees here about 30 years ago to help poorer kids get into college . It has helped to a limited level , but poor families ca n't afford to pay for extra tuition for the Leaving Cert , so the poor kids are now at a big disadvantage in trying to meet the required points level for entry .	0	poverty
674	@@3673020	poor-families	sg	The National Maternal and Child Health Center is where many poor families go to get free health services , food and accommodation , all covered under the national budget and the center 's income .	0	poverty
688	@@16962869	poor-families	ph	"Each boat will be co-owned by five families to avoid "" the abuse or sale of the boats which has always been the problem of government programs which give out equipment to poor families , "" Pi ? ol said ."	0	poverty
714	@@19897643	poor-families	sg	"He said : "" Whether it was the rights of ordinary workers to fair employment and decent wages , opportunities for single mothers and children of poor families , or healthcare for the disabled and elderly , you were a consistent and fearless voice in the unions , the Parliament and the Government , pushing us all to build a more equitable society . """	1	poverty
718	@@21075171	poor-families	ng	""" These worrying trends reflect the impact of food marketing and policies across the globe , with healthy nutritious foods too expensive for poor families and communities , "" said lead author Majid Ezzati , a professor at Imperial 's School of Public Health ."	0	poverty
735	@@24659738	poor-families	sg	"According to Santhosh Ramdoss , director , India programmes , at the Michael &amp; Susan Dell Foundation , a large portion of urban poor families in India do not have any formal access to financial services . "" We are presented with a landmark opportunity to take on this challenge , given India 's leadership in building a cutting-edge public technology infrastructure that can be used to seamlessly deliver a variety of critical digital services to low-income families , "" said Ramdoss in a statement ."	0	poverty
744	@@30024917	poor-families	za	Zuma also took a swipe at the institutions of higher learning for depriving students from poor families a chance to be educated .	0	poverty
785	@@398502	poor-families	ie	The children , between the ages of five and 12 , fell ill on Tuesday , soon after eating the meal of rice , lentils , soybeans and potatoes . The lunch , part of a popular national campaign to give at least one daily hot meal to children from poor families , was cooked in the school kitchen .	0	poverty
786	@@19886770	poor-families	sg	""" Whether it was the rights of ordinary workers to fair employment and decent wages , opportunities for single mothers and children of poor families , or healthcare for the disabled and elderly , you were a consistent and fearless voice in the unions , the Parliament and the Government , pushing us all to build a more equitable society , "" he said ."	1	poverty
809	@@2020712	poor-families	ca	"Other members of the community are required to collect amounts of up to $2,000 annually for the benefit of Lev Tahor . "" They are instructed to hide where they come from , and to claim the money goes to poor families , "" the former member said ."	0	poverty
815	@@25761222	poor-families	ng	Of the 48 percent self-rated poor families , 36 percent never experienced being non-poor ( always poor ) , six percent were not poor five or more years ago ( usually poor ) , and six percent were those who used to be non-poor one to four years ago ( newly poor ) .	0	poverty
817	@@7532054	poor-families	sg	"From his personal story and real-life encounters with poor families , manpower correspondent Toh Yong Chuan suggested shifting the focus from poor parents who repeatedly make bad decisions to their children ( "" Lifting families out of poverty : Focus on the children ; last Thursday ) ."	3	poverty
825	@@876284	poor-families	nz	Poor children have always been deprived of many necessities that their richer peers have got . It has always been said that there are many poor children who have the capability to make it big , but due to lower academic standards are unable to do so . Moreover , these poor kids are seen to be indulged in various illegal activities and crimes . But a Christchurch study has come up with a different version of poor kids . According to their study , children raised in poor families would earn less and achieve at a lower academic standards , but would not have higher crime level .	0	poverty
827	@@4597265	poor-families	bd	"Former director of Dhaka University 's Institute of Education Research , Siddiqur Rahman said the admission process should be reformed . "" Students of poor families face harassment for the system , and ultimately fail to enrol . """	0	poverty
852	@@16093066	poor-families	ng	Mahesh Savani performed the Hindu wedding ritual of ' Kanyadaan ' -- the practice of giving away one 's daughter in marriage -- for 236 fatherless brides from poor families at a mega-wedding event in the western state of Gujarat at Christmas .	0	poverty
853	@@2814687	poor-families	au	"Iain Duncan-Smith has made his feelings about benefits claimants clear : poor families are to be given pre-paid cards , loaded with payments , to make sure they spend the money on food , rather than their "" self-destructive habits "" ."	3	poverty
873	@@20374243	poor-families	sg	Citing the fact that these kids who died at Gorakhpur 's Baba Raghav Das ( BRD ) Medical College and Farrukhabad district hospital belonged to the poor families , the Shiv Sena said instead of acting as a ' God ' to the poor ' , these government hospitals are proving to be a ' God of death ' for them .	2	poverty
